TIMESTAMPS,COUNTS_c/s,HT_Voltage,TEMPERATURE_C
2025-12-06 12:41:41,"+25.00015E+03
",1000,20
2025-12-06 12:41:42,"+25.00015E+03
",1000,20
2025-12-06 12:41:43,"+25.00015E+03
",1000,20
2025-12-06 12:41:44,"+25.00015E+03
",1000,20
2025-12-06 12:41:45,"+25.00015E+03
",1000,20
2025-12-06 12:41:46,"+25.00015E+03
",1000,20
2025-12-06 12:41:47,"+25.00015E+03
",1000,20
2025-12-06 12:41:48,"+25.00015E+03
",1000,20
2025-12-06 12:41:49,"+25.00015E+03
",1000,20
2025-12-06 12:41:50,"+25.00015E+03
",1000,20
2025-12-06 12:41:51,"+25.00015E+03
",1000,20
2025-12-06 12:41:52,"+25.00015E+03
",1000,20
2025-12-06 12:41:53,"+25.00015E+03
",1000,20
2025-12-06 12:41:54,"+25.00015E+03
",1000,20
2025-12-06 12:41:55,"+25.00015E+03
",1000,20
2025-12-06 12:41:56,"+25.00015E+03
",1000,20
2025-12-06 12:41:57,"+25.00015E+03
",1000,20
2025-12-06 12:41:58,"+25.00015E+03
",1000,20
2025-12-06 12:41:59,"+25.00015E+03
",1000,20
2025-12-06 12:42:00,"+25.00015E+03
",1000,20
2025-12-06 12:42:01,"+25.00015E+03
",1000,20
2025-12-06 12:42:02,"+25.00015E+03
",1000,20
2025-12-06 12:42:03,"+25.00015E+03
",1000,20
2025-12-06 12:42:04,"+25.00015E+03
",1000,20
2025-12-06 12:42:05,"+25.00015E+03
",1000,20
2025-12-06 12:42:06,"+25.00015E+03
",1000,20
2025-12-06 12:42:07,"+25.00015E+03
",1000,20
2025-12-06 12:42:08,"+25.00015E+03
",1000,20
2025-12-06 12:42:09,"+25.00015E+03
",1000,20
2025-12-06 12:42:10,"+25.00015E+03
",1000,20
2025-12-06 12:42:11,"+25.00015E+03
",1000,20
2025-12-06 12:42:12,"+25.00015E+03
",1000,20
2025-12-06 12:42:13,"+25.00015E+03
",1000,20
2025-12-06 12:42:14,"+25.00015E+03
",1000,20
2025-12-06 12:42:15,"+25.00015E+03
",1000,20
2025-12-06 12:42:16,"+25.00015E+03
",1000,20
2025-12-06 12:42:17,"+25.00015E+03
",1000,20
2025-12-06 12:42:18,"+25.00015E+03
",1000,20
2025-12-06 12:42:19,"+25.00015E+03
",1000,20
2025-12-06 12:42:20,"+25.00015E+03
",1000,20
2025-12-06 12:42:21,"+25.00015E+03
",1000,20
2025-12-06 12:42:22,"+25.00015E+03
",1000,20
2025-12-06 12:42:23,"+25.00015E+03
",1000,20
2025-12-06 12:42:24,"+25.00015E+03
",1000,20
2025-12-06 12:42:25,"+25.00015E+03
",1000,20
2025-12-06 12:42:26,"+25.00015E+03
",1000,20
2025-12-06 12:42:27,"+25.00015E+03
",1000,20
2025-12-06 12:42:28,"+25.00015E+03
",1000,20
2025-12-06 12:42:29,"+25.00015E+03
",1000,20
2025-12-06 12:42:30,"+25.00015E+03
",1000,20
2025-12-06 12:42:31,"+25.00015E+03
",1000,20
2025-12-06 12:42:32,"+25.00015E+03
",1000,20
2025-12-06 12:42:33,"+25.00015E+03
",1000,20
2025-12-06 12:42:34,"+25.00015E+03
",1000,20
2025-12-06 12:42:35,"+25.00015E+03
",1000,20
2025-12-06 12:42:36,"+25.00015E+03
",1000,20
2025-12-06 12:42:37,"+25.00015E+03
",1000,20
2025-12-06 12:42:38,"+25.00015E+03
",1000,20
2025-12-06 12:42:39,"+25.00015E+03
",1000,20
2025-12-06 12:42:40,"+25.00015E+03
",1000,20
2025-12-06 12:42:41,"+25.00015E+03
",1000,20
2025-12-06 12:42:42,"+25.00015E+03
",1000,20
2025-12-06 12:42:43,"+25.00015E+03
",1000,20
2025-12-06 12:42:44,"+25.00015E+03
",1000,20
2025-12-06 12:42:45,"+25.00015E+03
",1000,20
2025-12-06 12:42:46,"+25.00015E+03
",1000,20
2025-12-06 12:42:47,"+25.00015E+03
",1000,20
2025-12-06 12:42:48,"+25.00015E+03
",1000,20
2025-12-06 12:42:49,"+25.00015E+03
",1000,20
2025-12-06 12:42:50,"+25.00015E+03
",1000,20
2025-12-06 12:42:51,"+25.00015E+03
",1000,20
2025-12-06 12:42:52,"+25.00015E+03
",1000,20
2025-12-06 12:42:53,"+25.00015E+03
",1000,20
2025-12-06 12:42:54,"+25.00015E+03
",1000,20
2025-12-06 12:42:55,"+25.00015E+03
",1000,20
2025-12-06 12:42:56,"+25.00015E+03
",1000,20
2025-12-06 12:42:57,"+25.00015E+03
",1000,20
2025-12-06 12:42:58,"+25.00015E+03
",1000,20
2025-12-06 12:42:59,"+25.00015E+03
",1000,20
2025-12-06 12:43:00,"+25.00015E+03
",1000,20
2025-12-06 12:43:01,"+25.00015E+03
",1000,20
2025-12-06 12:43:02,"+25.00015E+03
",1000,20
2025-12-06 12:43:03,"+25.00015E+03
",1000,20
2025-12-06 12:43:04,"+25.00015E+03
",1000,20
2025-12-06 12:43:05,"+25.00015E+03
",1000,20
2025-12-06 12:43:06,"+25.00015E+03
",1000,20
2025-12-06 12:43:07,"+25.00015E+03
",1000,20
2025-12-06 12:43:08,"+25.00015E+03
",1000,20
2025-12-06 12:43:10,"+25.00015E+03
",1000,20
2025-12-06 12:43:11,"+25.00015E+03
",1000,20
2025-12-06 12:43:11,"+25.00015E+03
",1000,20
2025-12-06 12:43:12,"+25.00015E+03
",1000,20
2025-12-06 12:43:13,"+25.00015E+03
",1000,20
2025-12-06 12:43:14,"+25.00015E+03
",1000,20
2025-12-06 12:43:16,"+25.00015E+03
",1000,20
2025-12-06 12:43:17,"+25.00014E+03
",1000,20
2025-12-06 12:43:18,"+25.00014E+03
",1000,20
2025-12-06 12:43:19,"+25.00015E+03
",1000,20
2025-12-06 12:43:20,"+25.00015E+03
",1000,20
2025-12-06 12:43:21,"+25.00015E+03
",1000,20
2025-12-06 12:43:22,"+25.00015E+03
",1000,20
2025-12-06 12:43:23,"+25.00015E+03
",1000,20
2025-12-06 12:43:24,"+25.00014E+03
",1000,20
2025-12-06 12:43:25,"+25.00015E+03
",1000,20
2025-12-06 12:43:26,"+25.00015E+03
",1000,20
2025-12-06 12:43:27,"+25.00015E+03
",1000,20
2025-12-06 12:43:28,"+25.00015E+03
",1000,20
2025-12-06 12:43:29,"+25.00015E+03
",1000,20
2025-12-06 12:43:30,"+25.00015E+03
",1000,20
2025-12-06 12:43:31,"+25.00015E+03
",1000,20
2025-12-06 12:43:32,"+25.00015E+03
",1000,20
2025-12-06 12:43:33,"+25.00015E+03
",1000,20
2025-12-06 12:43:34,"+25.00015E+03
",1000,20
2025-12-06 12:43:35,"+25.00015E+03
",1000,20
2025-12-06 12:43:36,"+25.00015E+03
",1000,20
2025-12-06 12:43:37,"+25.00015E+03
",1000,20
2025-12-06 12:43:38,"+25.00015E+03
",1000,20
2025-12-06 12:43:39,"+25.00015E+03
",1000,20
2025-12-06 12:43:40,"+25.00015E+03
",1000,20
2025-12-06 12:43:41,"+25.00015E+03
",1000,20
2025-12-06 12:43:42,"+25.00015E+03
",1000,20
2025-12-06 12:43:43,"+25.00015E+03
",1000,20
2025-12-06 12:43:44,"+25.00015E+03
",1000,20
2025-12-06 12:43:45,"+25.00015E+03
",1000,20
2025-12-06 12:43:46,"+25.00015E+03
",1000,20
2025-12-06 12:43:47,"+25.00015E+03
",1000,20
2025-12-06 12:43:48,"+25.00015E+03
",1000,20
2025-12-06 12:43:49,"+25.00015E+03
",1000,20
2025-12-06 12:43:50,"+25.00015E+03
",1000,20
2025-12-06 12:43:51,"+25.00015E+03
",1000,20
2025-12-06 12:43:52,"+25.00015E+03
",1000,20
2025-12-06 12:43:53,"+25.00015E+03
",1000,20
2025-12-06 12:43:54,"+25.00015E+03
",1000,20
2025-12-06 12:43:55,"+25.00015E+03
",1000,20
2025-12-06 12:43:56,"+25.00015E+03
",1000,20
2025-12-06 12:43:57,"+25.00015E+03
",1000,20
2025-12-06 12:43:58,"+25.00015E+03
",1000,20
2025-12-06 12:43:59,"+25.00015E+03
",1000,20
2025-12-06 12:44:00,"+25.00015E+03
",1000,20
2025-12-06 12:44:01,"+25.00015E+03
",1000,20
2025-12-06 12:44:02,"+25.00015E+03
",1000,20
2025-12-06 12:44:03,"+25.00015E+03
",1000,20
2025-12-06 12:44:04,"+25.00015E+03
",1000,20
2025-12-06 12:44:05,"+25.00015E+03
",1000,20
2025-12-06 12:44:06,"+25.00015E+03
",1000,20
2025-12-06 12:44:07,"+25.00015E+03
",1000,20
2025-12-06 12:44:08,"+25.00015E+03
",1000,20
2025-12-06 12:44:09,"+25.00015E+03
",1000,20
2025-12-06 12:44:10,"+25.00015E+03
",1000,20
2025-12-06 12:44:11,"+25.00015E+03
",1000,20
2025-12-06 12:44:12,"+25.00015E+03
",1000,20
2025-12-06 12:44:13,"+25.00015E+03
",1000,20
2025-12-06 12:44:14,"+25.00015E+03
",1000,20
2025-12-06 12:44:15,"+25.00015E+03
",1000,20
2025-12-06 12:44:16,"+25.00015E+03
",1000,20
2025-12-06 12:44:17,"+25.00015E+03
",1000,20
2025-12-06 12:44:18,"+25.00015E+03
",1000,20
2025-12-06 12:44:19,"+25.00015E+03
",1000,20
2025-12-06 12:44:20,"+25.00015E+03
",1000,20
2025-12-06 12:44:21,"+25.00015E+03
",1000,20
2025-12-06 12:44:22,"+25.00015E+03
",1000,20
2025-12-06 12:44:23,"+25.00015E+03
",1000,20
2025-12-06 12:44:24,"+25.00015E+03
",1000,20
2025-12-06 12:44:25,"+25.00015E+03
",1000,20
2025-12-06 12:44:26,"+25.00015E+03
",1000,20
2025-12-06 12:44:27,"+25.00015E+03
",1000,20
2025-12-06 12:44:28,"+25.00015E+03
",1000,20
2025-12-06 12:44:29,"+25.00015E+03
",1000,20
2025-12-06 12:44:30,"+25.00015E+03
",1000,20
2025-12-06 12:44:31,"+25.00015E+03
",1000,20
2025-12-06 12:44:32,"+25.00015E+03
",1000,20
2025-12-06 12:44:33,"+25.00015E+03
",1000,20
2025-12-06 12:44:34,"+25.00015E+03
",1000,20
2025-12-06 12:44:35,"+25.00015E+03
",1000,20
2025-12-06 12:44:36,"+25.00015E+03
",1000,20
2025-12-06 12:44:37,"+25.00015E+03
",1000,20
2025-12-06 12:44:38,"+25.00015E+03
",1000,20
2025-12-06 12:44:39,"+25.00015E+03
",1000,20
2025-12-06 12:44:40,"+25.00015E+03
",1000,20
2025-12-06 12:44:41,"+25.00015E+03
",1000,20
2025-12-06 12:44:42,"+25.00015E+03
",1000,20
2025-12-06 12:44:43,"+25.00015E+03
",1000,20
2025-12-06 12:44:44,"+25.00015E+03
",1000,20
2025-12-06 12:44:45,"+25.00015E+03
",1000,20
2025-12-06 12:44:46,"+25.00015E+03
",1000,20
2025-12-06 12:44:47,"+25.00015E+03
",1000,20
2025-12-06 12:44:48,"+25.00015E+03
",1000,20
2025-12-06 12:44:49,"+25.00015E+03
",1000,20
2025-12-06 12:44:50,"+25.00015E+03
",1000,20
2025-12-06 12:44:51,"+25.00015E+03
",1000,20
2025-12-06 12:44:52,"+25.00015E+03
",1000,20
2025-12-06 12:44:53,"+25.00015E+03
",1000,20
2025-12-06 12:44:54,"+25.00015E+03
",1000,20
2025-12-06 12:44:55,"+25.00015E+03
",1000,20
2025-12-06 12:44:56,"+25.00015E+03
",1000,20
2025-12-06 12:44:57,"+25.00015E+03
",1000,20
2025-12-06 12:44:58,"+25.00015E+03
",1000,20
2025-12-06 12:44:59,"+25.00015E+03
",1000,20
2025-12-06 12:45:00,"+25.00015E+03
",1000,20
2025-12-06 12:45:01,"+25.00015E+03
",1000,20
2025-12-06 12:45:02,"+25.00015E+03
",1000,20
2025-12-06 12:45:03,"+25.00015E+03
",1000,20
2025-12-06 12:45:04,"+25.00015E+03
",1000,20
2025-12-06 12:45:05,"+25.00015E+03
",1000,20
2025-12-06 12:45:06,"+25.00015E+03
",1000,20
2025-12-06 12:45:07,"+25.00015E+03
",1000,20
2025-12-06 12:45:08,"+25.00015E+03
",1000,20
2025-12-06 12:45:09,"+25.00015E+03
",1000,20
2025-12-06 12:45:10,"+25.00015E+03
",1000,20
2025-12-06 12:45:11,"+25.00015E+03
",1000,20
2025-12-06 12:45:12,"+25.00015E+03
",1000,20
2025-12-06 12:45:13,"+25.00015E+03
",1000,20
2025-12-06 12:45:14,"+25.00015E+03
",1000,20
2025-12-06 12:45:15,"+25.00015E+03
",1000,20
2025-12-06 12:45:16,"+25.00015E+03
",1000,20
2025-12-06 12:45:17,"+25.00015E+03
",1000,20
2025-12-06 12:45:18,"+25.00015E+03
",1000,20
2025-12-06 12:45:19,"+25.00015E+03
",1000,20
2025-12-06 12:45:20,"+25.00015E+03
",1000,20
2025-12-06 12:45:21,"+25.00015E+03
",1000,20
2025-12-06 12:45:22,"+25.00015E+03
",1000,20
2025-12-06 12:45:23,"+25.00015E+03
",1000,20
2025-12-06 12:45:24,"+25.00015E+03
",1000,20
2025-12-06 12:45:25,"+25.00015E+03
",1000,20
2025-12-06 12:45:26,"+25.00015E+03
",1000,20
2025-12-06 12:45:27,"+25.00015E+03
",1000,20
2025-12-06 12:45:28,"+25.00015E+03
",1000,20
2025-12-06 12:45:29,"+25.00015E+03
",1000,20
2025-12-06 12:45:30,"+25.00015E+03
",1000,20
2025-12-06 12:45:31,"+25.00015E+03
",1000,20
2025-12-06 12:45:32,"+25.00015E+03
",1000,20
2025-12-06 12:45:33,"+25.00015E+03
",1000,20
2025-12-06 12:45:34,"+25.00015E+03
",1000,20
2025-12-06 12:45:35,"+25.00015E+03
",1000,20
2025-12-06 12:45:36,"+25.00015E+03
",1000,20
2025-12-06 12:45:37,"+25.00015E+03
",1000,20
2025-12-06 12:45:38,"+25.00015E+03
",1000,20
2025-12-06 12:45:39,"+25.00015E+03
",1000,20
2025-12-06 12:45:40,"+25.00015E+03
",1000,20
2025-12-06 12:45:41,"+25.00015E+03
",1000,20
2025-12-06 12:45:42,"+25.00015E+03
",1000,20
2025-12-06 12:45:43,"+25.00015E+03
",1000,20
2025-12-06 12:45:44,"+25.00015E+03
",1000,20
2025-12-06 12:45:45,"+25.00015E+03
",1000,20
2025-12-06 12:45:46,"+25.00015E+03
",1000,20
2025-12-06 12:45:47,"+25.00015E+03
",1000,20
2025-12-06 12:45:48,"+25.00015E+03
",1000,20
2025-12-06 12:45:49,"+25.00015E+03
",1000,20
2025-12-06 12:45:50,"+25.00015E+03
",1000,20
2025-12-06 12:45:51,"+25.00015E+03
",1000,20
2025-12-06 12:45:52,"+25.00015E+03
",1000,20
2025-12-06 12:45:53,"+25.00015E+03
",1000,20
2025-12-06 12:45:54,"+25.00015E+03
",1000,20
2025-12-06 12:45:55,"+25.00015E+03
",1000,20
2025-12-06 12:45:56,"+25.00015E+03
",1000,20
2025-12-06 12:45:57,"+25.00015E+03
",1000,20
2025-12-06 12:45:58,"+25.00015E+03
",1000,20
2025-12-06 12:45:59,"+25.00015E+03
",1000,20
2025-12-06 12:46:00,"+25.00015E+03
",1000,20
2025-12-06 12:46:01,"+25.00015E+03
",1000,20
2025-12-06 12:46:02,"+25.00015E+03
",1000,20
2025-12-06 12:46:03,"+25.00015E+03
",1000,20
2025-12-06 12:46:04,"+25.00015E+03
",1000,20
2025-12-06 12:46:05,"+25.00015E+03
",1000,20
2025-12-06 12:46:06,"+25.00015E+03
",1000,20
2025-12-06 12:46:07,"+25.00015E+03
",1000,20
2025-12-06 12:46:08,"+25.00015E+03
",1000,20
2025-12-06 12:46:09,"+25.00015E+03
",1000,20
2025-12-06 12:46:10,"+25.00015E+03
",1000,20
2025-12-06 12:46:11,"+25.00015E+03
",1000,20
2025-12-06 12:46:12,"+25.00015E+03
",1000,20
2025-12-06 12:46:13,"+25.00015E+03
",1000,20
2025-12-06 12:46:14,"+25.00015E+03
",1000,20
2025-12-06 12:46:15,"+25.00015E+03
",1000,20
2025-12-06 12:46:16,"+25.00015E+03
",1000,20
2025-12-06 12:46:17,"+25.00015E+03
",1000,20
2025-12-06 12:46:18,"+25.00015E+03
",1000,20
2025-12-06 12:46:19,"+25.00015E+03
",1000,20
2025-12-06 12:46:20,"+25.00015E+03
",1000,20
2025-12-06 12:46:21,"+25.00015E+03
",1000,20
2025-12-06 12:46:22,"+25.00015E+03
",1000,20
2025-12-06 12:46:23,"+25.00015E+03
",1000,20
2025-12-06 12:46:24,"+25.00015E+03
",1000,20
2025-12-06 12:46:25,"+25.00015E+03
",1000,20
2025-12-06 12:46:26,"+25.00015E+03
",1000,20
2025-12-06 12:46:27,"+25.00015E+03
",1000,20
2025-12-06 12:46:28,"+25.00015E+03
",1000,20
2025-12-06 12:46:29,"+25.00015E+03
",1000,20
2025-12-06 12:46:30,"+25.00015E+03
",1000,20
2025-12-06 12:46:31,"+25.00015E+03
",1000,20
2025-12-06 12:46:32,"+25.00015E+03
",1000,20
2025-12-06 12:46:33,"+25.00015E+03
",1000,20
2025-12-06 12:46:34,"+25.00015E+03
",1000,20
